epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.20034,1.4093,0.47679,1,1.17367,0.00020706,0.00020706,0.00020706
2,3.57976,1.07946,0.64557,1,0.8318,0.00041709,0.00041709,0.00041709
3,4.89329,0.8984,0.74051,1,0.66901,0.000622878,0.000622878,0.000622878
4,6.23672,0.82341,0.81013,1,0.48397,0.000692794,0.000692794,0.000692794
5,7.55488,0.75139,0.84177,1,0.4265,0.000685726,0.000685726,0.000685726
6,8.90389,0.67702,0.87131,1,0.34806,0.000678657,0.000678657,0.000678657
7,10.2796,0.65169,0.88397,1,0.32256,0.000671588,0.000671588,0.000671588
8,11.6658,0.69169,0.88186,1,0.34447,0.00066452,0.00066452,0.00066452
9,12.9165,0.51249,0.90717,1,0.26254,0.000657451,0.000657451,0.000657451
10,14.4023,0.5587,0.90506,1,0.26175,0.000650383,0.000650383,0.000650383
11,15.6523,0.58497,0.89662,1,0.25636,0.000643314,0.000643314,0.000643314
12,16.9179,0.50835,0.9346,1,0.22063,0.000636245,0.000636245,0.000636245
13,18.1868,0.48821,0.93038,1,0.19748,0.000629177,0.000629177,0.000629177
14,19.4964,0.48042,0.94093,1,0.1852,0.000622108,0.000622108,0.000622108
15,20.8398,0.41896,0.93671,1,0.17106,0.00061504,0.00061504,0.00061504
16,22.1681,0.45644,0.94937,1,0.15351,0.000607971,0.000607971,0.000607971
17,23.4335,0.39681,0.95148,1,0.15358,0.000600902,0.000600902,0.000600902
18,24.6991,0.42786,0.94937,1,0.14263,0.000593834,0.000593834,0.000593834
19,25.9804,0.52658,0.95359,1,0.14105,0.000586765,0.000586765,0.000586765
20,27.2462,0.40168,0.96414,1,0.11145,0.000579697,0.000579697,0.000579697
21,28.5116,0.42067,0.95781,1,0.12246,0.000572628,0.000572628,0.000572628
22,29.7941,0.3648,0.95148,1,0.13028,0.000565559,0.000565559,0.000565559
23,31.3205,0.39919,0.97257,1,0.08592,0.000558491,0.000558491,0.000558491
24,32.6005,0.37616,0.97468,1,0.08628,0.000551422,0.000551422,0.000551422
25,34.0486,0.3915,0.96203,1,0.10302,0.000544354,0.000544354,0.000544354
26,35.3373,0.39813,0.95781,1,0.09896,0.000537285,0.000537285,0.000537285
27,36.6013,0.29613,0.97257,1,0.07726,0.000530216,0.000530216,0.000530216
28,37.8613,0.2827,0.98312,1,0.07828,0.000523148,0.000523148,0.000523148
29,39.1293,0.32487,0.97468,1,0.06776,0.000516079,0.000516079,0.000516079
30,40.3913,0.32734,0.97679,1,0.06675,0.000509011,0.000509011,0.000509011
31,41.6363,0.36738,0.98101,1,0.06368,0.000501942,0.000501942,0.000501942
32,42.8883,0.25059,0.98101,1,0.06703,0.000494873,0.000494873,0.000494873
33,44.1603,0.30951,0.98945,1,0.05106,0.000487805,0.000487805,0.000487805
34,45.4353,0.32095,0.98945,1,0.0409,0.000480736,0.000480736,0.000480736
35,46.6763,0.31959,0.99156,1,0.0337,0.000473668,0.000473668,0.000473668
36,47.9633,0.27328,0.98945,1,0.04217,0.000466599,0.000466599,0.000466599
37,49.1933,0.23629,0.98734,1,0.03982,0.00045953,0.00045953,0.00045953
38,50.5063,0.21706,0.98945,1,0.03536,0.000452462,0.000452462,0.000452462
39,51.7593,0.29312,0.98734,1,0.03034,0.000445393,0.000445393,0.000445393
40,53.0303,0.3226,0.99367,1,0.02929,0.000438325,0.000438325,0.000438325
41,54.3063,0.25166,0.99156,1,0.03763,0.000431256,0.000431256,0.000431256
42,55.5763,0.23126,0.98734,1,0.04007,0.000424187,0.000424187,0.000424187
43,56.8243,0.30339,0.98945,1,0.03977,0.000417119,0.000417119,0.000417119
44,58.0973,0.2737,0.98101,1,0.05793,0.00041005,0.00041005,0.00041005
45,59.3633,0.20555,0.98734,1,0.03333,0.000402982,0.000402982,0.000402982
46,60.6629,0.21252,0.99156,1,0.02304,0.000395913,0.000395913,0.000395913
47,62.1749,0.26365,0.98945,1,0.02803,0.000388844,0.000388844,0.000388844
48,63.4469,0.20762,0.99367,1,0.0232,0.000381776,0.000381776,0.000381776
49,64.6889,0.265,0.99156,1,0.02394,0.000374707,0.000374707,0.000374707
50,65.9439,0.17998,0.99367,1,0.02035,0.000367639,0.000367639,0.000367639
51,67.2269,0.2203,0.99367,1,0.0219,0.00036057,0.00036057,0.00036057
52,68.5199,0.25313,0.99578,1,0.01885,0.000353501,0.000353501,0.000353501
53,69.7866,0.22118,0.98945,1,0.0267,0.000346433,0.000346433,0.000346433
54,71.0652,0.22602,0.98945,1,0.03199,0.000339364,0.000339364,0.000339364
55,72.3372,0.22749,0.98945,1,0.02742,0.000332296,0.000332296,0.000332296
56,73.6059,0.22316,0.99156,1,0.02486,0.000325227,0.000325227,0.000325227
57,74.8459,0.23498,0.99156,1,0.02305,0.000318158,0.000318158,0.000318158
58,76.1749,0.2532,0.99367,1,0.02224,0.00031109,0.00031109,0.00031109
59,77.4159,0.17464,0.99367,1,0.01927,0.000304021,0.000304021,0.000304021
60,78.6669,0.24763,0.99156,1,0.02092,0.000296953,0.000296953,0.000296953
61,79.9209,0.1876,0.99367,1,0.01955,0.000289884,0.000289884,0.000289884
62,81.1649,0.24944,0.99578,1,0.01422,0.000282815,0.000282815,0.000282815
63,82.3829,0.18824,0.99578,1,0.0124,0.000275747,0.000275747,0.000275747
64,83.6469,0.18139,0.99578,1,0.01382,0.000268678,0.000268678,0.000268678
65,84.8919,0.13702,0.99578,1,0.00965,0.00026161,0.00026161,0.00026161
66,86.1539,0.19511,0.99578,1,0.01077,0.000254541,0.000254541,0.000254541
67,87.3919,0.13123,0.99578,1,0.0098,0.000247472,0.000247472,0.000247472
68,88.6839,0.15274,0.99578,1,0.01086,0.000240404,0.000240404,0.000240404
69,89.8999,0.17937,0.99578,1,0.01071,0.000233335,0.000233335,0.000233335
70,91.4369,0.16306,0.99367,1,0.01565,0.000226267,0.000226267,0.000226267
71,92.7359,0.15908,0.99367,1,0.01802,0.000219198,0.000219198,0.000219198
72,93.9769,0.1588,0.99367,1,0.01655,0.000212129,0.000212129,0.000212129
73,95.1899,0.12949,0.99367,1,0.01355,0.000205061,0.000205061,0.000205061
74,96.4599,0.21981,0.99367,1,0.01573,0.000197992,0.000197992,0.000197992
75,97.8129,0.16239,0.99578,1,0.01468,0.000190924,0.000190924,0.000190924
76,99.1179,0.13523,0.99578,1,0.0141,0.000183855,0.000183855,0.000183855
77,100.398,0.15939,0.99578,1,0.01218,0.000176786,0.000176786,0.000176786
78,101.717,0.16095,0.99578,1,0.01037,0.000169718,0.000169718,0.000169718
79,103.02,0.14594,0.99578,1,0.00972,0.000162649,0.000162649,0.000162649
80,104.45,0.08662,0.99578,1,0.0119,0.000155581,0.000155581,0.000155581
81,105.761,0.12188,0.99578,1,0.01055,0.000148512,0.000148512,0.000148512
82,107.155,0.12515,0.99578,1,0.01159,0.000141443,0.000141443,0.000141443
83,108.578,0.1266,0.99578,1,0.01047,0.000134375,0.000134375,0.000134375
84,109.945,0.10578,0.99578,1,0.00894,0.000127306,0.000127306,0.000127306
85,111.252,0.08406,0.99578,1,0.00929,0.000120238,0.000120238,0.000120238
86,112.533,0.16925,0.99578,1,0.00963,0.000113169,0.000113169,0.000113169
87,113.808,0.15119,0.99578,1,0.00964,0.0001061,0.0001061,0.0001061
88,115.134,0.10129,0.99578,1,0.00935,9.90318e-05,9.90318e-05,9.90318e-05
89,116.415,0.16741,0.99578,1,0.00893,9.19632e-05,9.19632e-05,9.19632e-05
90,117.881,0.14649,0.99578,1,0.00893,8.48946e-05,8.48946e-05,8.48946e-05
91,154.718,0.13206,0.99578,1,0.00797,7.7826e-05,7.7826e-05,7.7826e-05
92,156.116,0.12113,0.99578,1,0.00833,7.07574e-05,7.07574e-05,7.07574e-05
93,157.414,0.12096,0.99578,1,0.00785,6.36888e-05,6.36888e-05,6.36888e-05
94,158.731,0.10373,0.99578,1,0.00791,5.66202e-05,5.66202e-05,5.66202e-05
95,159.985,0.11505,0.99578,1,0.00824,4.95516e-05,4.95516e-05,4.95516e-05
96,161.272,0.0844,0.99578,1,0.00775,4.2483e-05,4.2483e-05,4.2483e-05
97,162.535,0.12013,0.99578,1,0.00758,3.54144e-05,3.54144e-05,3.54144e-05
98,163.823,0.10823,0.99578,1,0.00772,2.83458e-05,2.83458e-05,2.83458e-05
99,165.095,0.11705,0.99578,1,0.00789,2.12772e-05,2.12772e-05,2.12772e-05
100,166.378,0.11587,0.99578,1,0.00749,1.42086e-05,1.42086e-05,1.42086e-05
